gpslat,gpslon,rstnam,nettyp
53.395721,-2.343329,Navigation Road,M
53.61338,-2.1355159,Newbold,M
53.504124,-2.184648,Newton Heath & Moston,M
53.600864,-2.094857,Newhey,M
53.481083,-2.2197771,New Islington,M
53.414532,-2.2882221,Northern Moor,M
53.53957,-2.117187,Oldham King Street,M
53.456436,-2.284559,Old Trafford,M
53.540276,-2.112179,Oldham Central,M
53.542404,-2.1034329,Oldham Mumps,M
53.46735,-2.3090811,Parkway,M
53.480221,-2.23686,Piccadilly Gardens,M
53.477215,-2.230952,Piccadilly,M
53.373707,-2.2504129,Peel Hall,M
53.466579,-2.2751369,Pomona,M
53.533371,-2.281981,Prestwich,M
53.501705,-2.2266531,Queens Road,M
53.562305,-2.321003,Radcliffe,M
53.617329,-2.1553171,Rochdale,M
53.392605,-2.289155,Roundthorn,M
53.611019,-2.1544471,Rochdale Railway Station,M
53.376316,-2.2585299,Robinswood Road,M
53.526516,-2.1452689,South Chadderton,M
53.367573,-2.252511,Shadowmoss,M
53.446087,-2.303793,Stretford,M
53.57616,-2.089546,Shaw and Crompton,M
53.485291,-2.23908,Shudehill,M
53.424438,-2.3188519,Sale,M
53.47036,-2.2839739,Salford Quays,M
53.478214,-2.2431171,St Peter's Square,M
53.438717,-2.2654281,St Werburgh's Road,M
53.42823,-2.290828,Sale Water Park,M
53.404518,-2.3382559,Timperley,M
53.461845,-2.2770491,Trafford Bar,M
53.467899,-2.3477991,intu Trafford Centre,M
53.487392,-2.2419479,Victoria,M
53.467396,-2.3090661,Village,M
53.482281,-2.193022,Velopark,M
53.551228,-2.2952609,Whitefield,M
53.466217,-2.2875021,Wharfside,M
53.432812,-2.2494071,Withington,M
53.407673,-2.295666,Wythenshawe Park,M
53.482487,-2.3080001,Weaste,M
53.424477,-2.2360389,West Didsbury,M
53.54232,-2.1258709,Westwood,M
53.380024,-2.2637551,Wythenshawe Town Centre,M
