lsoa21cd,LSOAname,CommunityServiceTotal,DefenceTotal,IndustryandCommerceTotal,MineralsandlandfillTotal,ResidentialTotal,TransportandutilitiesTotal,UnknowndevelopeduseTotal,DevelopeduseTotal,AgricultureTotal,ForestopenlandandwaterTota,OutdoorrecreationTotal,ResidentialgardensTotal,UndevelopedlandTotal,NondevelopedTotal,VacantTotal,Total
E01004945,Bury 017A,9.615147003818061,,.135354837099961,,5.77260283182676,22.4577299587222,4.1887786787002,42.1696133101672,214.650131022092,46.5542488139136,60.5742413305608,17.5657950996052,.0691882174803977,339.413604483652,.48395854170009,382.067176335519
E01004969,Bury 022A,7.39587234545781,,.0582490183499948,,4.29985582379782,29.7634431730658,6.41605416149372,47.9334745221651,175.097759822825,16.3403091802738,3.04756831724945,15.309458293459,3.28294967234758,213.078045286154,,261.011519808319
E01004999,Bury 014C,4.96623302000474,,1.14711330398752,,4.14360532808428,6.23461442550196,4.13050036679324,20.6220664443717,123.820809976374,36.5154884232515,.204926664801135,14.5838070135116,,175.125032077938,.160367297500512,195.90746581981
E01005066,Manchester 018E,4.08738108406288,,.437568890199811,,1.71798861953483,6.49693504398311,1.3540672294474,14.093940867228,.54402900310036,.431109097298492,1.65127620296466,2.41863023395123,,5.04504453731475,,19.1389854045428
E01005128,Manchester 055A,4.17305719501422,,.758917906987352,,1.72497972809354,3.34395144325583,1.26788768083545,11.2687939541864,.465950651440622,.249099805346405,.39850630500086,,,1.11355676178789,1.27188950860018,13.6542402245745
E01005130,Manchester 054A,2.81688291129943,,.237670506115461,,2.5571879824157,10.0056727252925,4.23481128474847,19.8522254098716,5.51403510081631,3.46873395277144,.445105661496369,4.64653734625469,,14.0744120613388,.464059246039733,34.3906967172501
E01005210,Manchester 019C,8.30776635090802,.121840909999888,.153691759345621,,2.11719644559242,5.43328138916795,2.63471261774403,18.7684894727579,.764523771750615,,.0786753282195728,2.12763879085873,,2.97083789082892,,21.7393273635868
E01005212,Manchester 057A,7.47817528383459,,,,2.79478118357456,8.634976804695979,3.39491259842035,22.3028458705255,2.22661347800705,1.13697017422194,,2.10039070331675,,5.46397435554574,.0398857698500389,27.8067059959213
E01005508,Rochdale 020F,.146940989780763,,6.00202020992662,,6.58401150066066,42.1175705428381,34.872548877212,89.7230921204181,253.793214646654,35.7085924287182,19.8051176510917,24.319701290558,7.31633506227861,340.942961079301,5.08187973400017,435.747932933719
E01005610,Salford 034C,18.8223738944655,,.806374059999553,,2.68782211196236,12.4666411434969,5.6705572834744,40.4537684933987,5.96621491994066,4.4412264559658,9.33538944944603,5.85270450862639,,25.5955353339789,1.04712028815009,67.0964241155277
E01032684,Salford 034D,.271831410598478,,.638167422456201,,2.29718522805699,5.73463205018488,2.62133585217743,11.563151963474,3.49144788161213,2.07995146817092,.0736882150729645,5.6147685755293,,11.2598561403853,,22.8230081038593
E01032906,Salford 034E,1.30590738804818,,1.23391018374893,,3.08030405609144,13.4494795639689,4.74956078011781,23.8191619719753,3.83950727521525,1.37128384554032,.532191526101637,2.04528094563681,,7.78826359249401,2.03445859349904,33.6418841579684
E01032909,Salford 033F,.231463149649593,,1.12898077839941,,2.31238240241601,5.5456852803315,2.87126240128099,12.0897740120775,.438036187062165,1.07230710378398,,.658720574202442,,2.16906386504859,,14.2588378771261
E01033651,Manchester 054B,.251919951400559,,2.23295327136381,,1.9551193000844,11.2096935998025,10.5636536400633,26.2133397627146,1.07959218597728,1.16496031834853,.160610789613181,.526644405400155,,2.93180769933915,.592758251899853,29.7379057139536
E01033653,Manchester 055B,.759315914290244,,7.48130788868693,,3.76078408628822,14.0770551711576,3.82042775271456,29.8988908131375,.383888558833334,.0826481691998219,.73661150330117,.0351867630422672,,1.23833499437659,.0903299999996438,31.2275558075138
E01033654,Manchester 055C,7.81723716134955,,1.22212889993089,,2.22147176952884,9.9848407491909,4.16443442254119,25.4101130025414,.873029901208923,.69825234361194,.0496677236499083,.0334857499075122,,1.65443571837828,.717343566771667,27.7818922876913
E01033655,Manchester 056B,.483609411599822,,2.18747311524521,,.898746985435109,4.18927542134784,2.80830110773289,10.5674060413609,.415348161809287,.319316974949648,,.0707996958363801,,.805464832595315,.163579037499661,11.5364499114558
E01033656,Manchester 057B,1.86020475919856,,1.62490847080504,,1.56531049124466,9.20353560587832,3.99035425709058,18.2443135842172,1.37028742058938,.229866746929012,,.153346233065566,,1.75350040058396,.967220051148068,20.9650340359492
E01033658,Manchester 054C,2.99530614329865,,23.2036882002502,,2.74884900610846,19.3755552487118,8.04160034268317,56.3649989410522,1.04707320476202,1.27249214589014,.456482824999696,.0011265430071944,.0206989949988667,2.79787371365791,1.94616152840409,61.1090341831142
E01033661,Manchester 055E,1.09884885567937,,5.92048209045707,,2.6239254242586,20.2393807561253,14.9710404473741,44.8536775738944,3.74626185891095,1.91320093106013,,.370853835660049,.44289817711878,6.47321480274991,4.44171746032297,55.7686098369673
E01033662,Manchester 057C,.5321275070004,,2.80603886080603,,2.19149179226679,5.13757285920065,2.74951513119459,13.4167461504685,.158003441634749,.580969143132992,,.180708582149776,.0060425324999524,.925723699417469,.153284499999986,14.4957543498859
E01033664,Manchester 054D,.270104132050642,,2.82636414468254,,2.2224910493298,10.3508757470944,6.37953707212518,22.0493721452825,1.34215117413631,.0000827235980396,1.4937051472986,.287809813569218,,3.12374885860217,.742806122201193,25.9159271260859
